No GPU on this node, CUDA module not loaded
         103261 function calls (100735 primitive calls) in 369.667 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 enum.py:528(__new__)
      377    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      317    0.000    0.000    0.000    0.000 function_base.py:465(_needs_add_docstring)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1929(__init__)
     1326    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       14    0.000    0.000    0.000    0.000 __init__.py:199(split)
        6    0.000    0.000    0.000    0.000 numeric.py:2507(extend_all)
     1075    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       18    0.000    0.000    0.000    0.000 _compiler.py:243(_optimize_charset)
        1    0.000    0.000    0.000    0.000 polynomial.py:1472(Polynomial)
       23    0.000    0.000    0.000    0.000 overrides.py:177(decorator)
      605    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
     1326    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       39    0.000    0.000    0.000    0.000 typing.py:361(_flatten_literal_params)
        1    0.000    0.000    0.000    0.000 linalg.py:39(EigResult)
  111/108    0.000    0.000    0.000    0.000 typing.py:1600(__hash__)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      238    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
       30    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
       13    0.000    0.000    0.000    0.000 _compiler.py:516(_compile_info)
       33    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
  285/225    0.000    0.000    0.000    0.000 typing.py:1285(__hash__)
      605    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
    379/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
     1093    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       44    0.000    0.000    0.000    0.000 typing.py:1004(_typevar_subst)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
      118    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:647(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
      691    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      548    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
      586    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
       13    0.000    0.000    0.000    0.000 core.py:8389(__init__)
      524    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
      317    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
      523    0.000    0.000    0.000    0.000 typing.py:1279(__eq__)
      118    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      537    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
       26    0.000    0.000    0.000    0.000 enum.py:1561(__and__)
       27    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
      382    0.000    0.000    0.000    0.000 typing.py:166(_type_convert)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
        4    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
       13    0.000    0.000    0.000    0.000 core.py:8394(getdoc)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
       36    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
       51    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1571(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _io.open}
       81    0.000    0.000    0.000    0.000 typing.py:988(_is_unpacked_typevartuple)
  540/442    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
       50    0.000    0.000    0.000    0.000 _internal.py:872(_ufunc_doc_signature_formatter)
      342    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      795    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:6550(__new__)
      944    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      119    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      323    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      307    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        2    0.000    0.000    0.000    0.000 typing.py:2888(__new__)
       18    0.000    0.000    0.000    0.000 core.py:997(__init__)
        4    0.000    0.000    0.000    0.000 typing.py:1999(__init_subclass__)
      150    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        4    0.000    0.000    0.000    0.000 __init__.py:179(sub)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
      242    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
      228    0.000    0.000    0.000    0.000 _parser.py:261(get)
        1    0.000    0.000    0.000    0.000 _shape.py:1(<module>)
       13    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
      980    0.000    0.000    0.000    0.000 typing.py:1273(<genexpr>)
      537    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       13    0.000    0.000    0.000    0.000 mixins.py:44(_numeric_methods)
       28    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
      365    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 enum.py:254(__set_name__)
      158    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      406    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      232    0.000    0.000    0.000    0.000 typing.py:1592(__eq__)
        1    0.000    0.000    0.000    0.000 contextlib.py:359(__exit__)
       13    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
      158    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      342    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
    47/19    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
       28    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       13    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 format.py:1(<module>)
       82    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
    35/15    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
      312    0.000    0.000    0.000    0.000 typing.py:1634(__eq__)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
      393    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        4    0.000    0.000    0.000    0.000 typing.py:1874(__init__)
    35/15    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
       35    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
       49    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       13    0.000    0.000    0.000    0.000 mixins.py:36(_inplace_binary_method)
      168    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       45    0.000    0.000    0.000    0.000 typing.py:307(_unpack_args)
       36    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
       10    0.000    0.000    0.000    0.000 functools.py:521(decorating_function)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _machar.py:1(<module>)
        2    0.000    0.000    0.000    0.000 enum.py:513(__prepare__)
        1    0.000    0.000    0.000    0.000 core.py:2697(MaskedArray)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
       51    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        3    0.000    0.000    0.000    0.000 typing.py:1476(__getitem__)
        1    0.000    0.000    0.000    0.000 _globals.py:65(_CopyMode)
